,Object Number,image_path,Culture Area,Culture,Date Made,Description,Materials,Object Title,Period,Provenience,Section
10115,42-35-521,images/509569_800.jpg,Central American,Mam,four,"Huipil of one wide and two narrow widths with a square neck. White cotton with red stripes and yellow lines. Top, front, back and shoulder strip brocaded in a red mesh pattern on white with brocaded yellow line forming isolated small V's, diamonds and crosses. Red cotton thread - synthetic dye [Robert Carlsen 1984].As per Sigrid Meier, ""Warp: 74 epi, single, Z twist, white and red cotton. Two singles, Z twist, yellow cotton. Weft: 23 ppi, one single, Z twist, white cotton. Warp faced plain weave. Supplementary weft is single faced. Three panels, four selvedges. Woven on a backstrap loom.""",Cotton,Blouse<br/><br/>Huipil,Geometric Period,Guatemala | Colotenango | Department of Huehuetenango,American
10126,45-15-976A,images/607621_800.jpg,Great Plains Culture Area,Kiowa | Mescalero,three,Panther skin quiver. Baldric and three pendants ornamented with square patches of red stroud with narrow beaded border design. Slender pendant at mouth.,Mountain Lion Skin | Fiber | Glass,Quiver,Bronze Age,Great Plains (Plain),American
10129,29-42-710,images/489172_800.jpg,Southwest Culture Area,Cliff Dweller,one,Limonite concretion.,Limonite | Concretion,Stone,Mousterian,Southeastern Utah | Canyon,American
10130,29-42-709,images/489174_800.jpg,Southwest Culture Area,Cliff Dweller,one,"Small, chalcedony, with notched end.",Chalcedony,Ornament,Mousterian,Southeastern Utah | Canyon,American
10131,29-42-699,images/489065_800.jpg,Southwest Culture Area,Cliff Dweller,one,"Piece of hornstone, used, probably, as a scraper.",Hornstone,Stone,Mousterian,Southeastern Utah | Canyon,American
10147,22627,images/463353_800.jpg,Southwest Culture Area,Pueblo | Zuni,Three,"Mountain Lion (long tail) fetish, long body with long tail curved along the back, round face, short legs.Yellow in color, red strapped to the back of the fetish with twine and shell beads. Represents the direction North, swept or barren place, Yellow Mountain.",Clay | Fiber | Stone | Shell,Fetish,Achaemenid,New Mexico,American
10155,NA6850A,images/27870_800.jpg,Northwest Coast Culture Area,Tlingit,two,Ceremonial Neck Ring of rope-like twisted cedar bark.,Cedar Bark,Neck Ring,Roman Period,United States of America | Alaska | Chichagof Island | Hoonah,American
10156,29-77-736,images/449176_800.jpg,Southwest Culture Area,Prehistoric Pueblo,half,Bidahochi Polychrome; Fragment; Repaired,Clay,Olla,Cypro-Geometric IA,Northeast Arizona,American
10158,29-44-277,images/462200_800.jpg,Southwest Culture Area,Pueblo,One,Fragment of a jar rest.,Yucca,Jar Rest,Iron Age | Hallstatt I | Bylany Phase,Southwest Colorado | Southeastern Utah,American
10166,66-34-99,images/510133_800.jpg,Central American,Kekchi,four,"Uncut, white cotton huipil in three panels. Gauze like weave. Entirely brocaded with stylized animal, human and geometric forms in horizontal bands. Dark green and purple thread. Neck not cut.As per Sigrid Meier, ""Warp: 28 epi, two singles, Z twist, white cotton. Weft: 28 ppi, two singles, Z twist, white cotton. Basket weave. Supplementary weft is two faced. Three panels, four selvedges. Woven on a backstrap loom.""",Cotton,Blouse<br/><br/>Huipil,Geometric Period,Guatemala | Department of Alta Verapaz | San Pedro Carcha,American
10167,29-79-116,images/442112_800.jpg,Southwest Culture Area,Anasazi,one,"Globular, cylindrical neck, Little Colorado Black/White; rim chipped",Clay,Pitcher,Mousterian,Northeast Arizona | Little Colorado Area,American
10170,45-15-687,images/842025_800.jpg,Great Basin Culture Area,Shoshone (uncertain) | Sioux (uncertain),one,"Pendant, green staining.",Elk Tooth | Pigment,Pendant,Mousterian,Wyoming,American
10171,29-43-794,images/459642_800.jpg,Southwest Culture Area,Basket-Maker,One,"Piece of hollow wood, decorated on one side with blue, black and red feathers and bound on with cord and skin. Used as attachment on end of sacrificial prayer wand.",Wood | Feathers,Ceremonial Wand,Iron Age | Hallstatt I | Bylany Phase,United States of America | Southeastern Utah,American
10173,37537,images/841764_800.jpg,Plateau Culture Area,Umatilla,one,"Twenty counting sticks for hand game. Willow splints, pointed at one end.",Willow,Counting Sticks,Mousterian,Oregon | Umatilla Reservation,American
10183,NA9211,images/837379_800.jpg,Northwest Coast Culture Area,Tlingit,17,"Cylindrical basket with slightly expanding sides and an inverted bottom. Decorated with upper and lower bands of false embroidery in elongated ""tide"" or ""wave"" patterns in black with separated ""winding"" or ""tying"" patterns across the middle in orange.Technical notes: twined, close twined, two-strand, in-between weave (with plain), wrapped weft (""false embroidery""). 14 warps, 17 wefts per square inch. Bottom in between, shape of flower pot, designs all floated, no apparent dye. Related to NA9213.",Spruce Root | Grass | maidenhair fern,Berry Basket,Hissar II,Alaska,American
10184,NA7518,images/707215_800.jpg,Siberia,Eskimo,one,Slush scraper made of ivory and incised on the convex side used on haft.,Ivory,Snow Shovel Part,Mousterian,Siberia | Big Diomede Island,American
10198,31109,images/75865_800.jpg,Andean,Inca,2864,"Incasic Plate with decorative painting. Bird or crocodile head handlePlate with a squat-flaring body, no neck/collar, inward sloping rim, no handles, and a flat base. The plate has two protrusions at the rim and a bird head extending from the opposite side of the rim. The plate is painted with Incan style geometric designs in brown, red, and white. There appears to be a burnished finish on the exterior and a burnished finish on the interior. The vessel was likely fired in an oxidizing atmosphere as the ceramic paste is orange in color. The catalogue number is written on the bottom of the base and black ink on the bottom of the base reads: ""2864.""",Ceramic,Plate,Late Horizon,Peru | Sun Temple | Pachacamac,American
10199,31099,images/82975_800.jpg,Andean,Inca,1476-1550 CE,"with bird head handle. Elaborately painted in various designsPlate with a flaring body, no neck/collar, inward sloping rim, 1 effigy-zoomorphic handle on the rim, and a flat base. The handle is in the shape of a bird head and there are two protrusions with indentations at their center opposite the handle on the rim. The plate is painted with concentric circles of design including geometric shapes and figures. The circle at the center has repeated frog figures. The painting is done in brown, red, orange, and white. There appears to be a burnished finish on the exterior and a burnished finish on the interior. The vessel was likely fired in an oxidizing atmosphere as the ceramic paste is orange in color. The catalogue number is written on the bottom of the base and black ink on the bottom of the base reads: ""2360.""",Ceramic,Plate,Iron Age | Hallstatt I | Bylany Phase,Peru | Sun Temple | Pachacamac,American
10200,29999,images/38420_800.jpg,Andean,Inca,5,"Decorated with five bands of bobbin weave patterned and needle finished edge opposite loom string.Rectangular cloth (fragment of) with 5 bands/stripes of a single-sided bobbin weave (floats on verso). This weaving appears to be over the plain weave base. There are slits in the textile at the start of the bands/stripes. Knitted edges. According to the catalogue card, this is a part of a ""loin cloth"". Color(s): White plain weave, woven section is red, yellow, and black.",Wool | Cotton,Loin Cloth<br/><br/>Textile Fragment,Joseon Dynasty,"Peru | Pachacamac | Gravefield I, Younger Part",American
10219,43-19-66,images/494848_800.jpg,Southwest Culture Area,Pueblo,One,"Black-on-white. Design; hachured lozenge motif. Exterior plain, with stump of loop handle.",Clay,Bowl Rim Sherd,Iron Age | Hallstatt I | Bylany Phase,New Mexico | Chaco Canyon | Pueblo Bonito,American
10220,29-77-247,images/453466_800.jpg,Southwest Culture Area,Anasazi,one,"Chaco Black/White; bold rectangular scroll, diagonally hatched.",Clay,Jar,Epiii,Northeast Arizona | San Juan Area,American
10225,NA7774G,images/837626_800.jpg,Northwest Coast Culture Area,Tlingit,12,"Spruce root (one a spoon mat). Technical notes: twined, 7 warps and 12 wefts per square inch.Size of black gumboot. Related to NA7774I.",Spruce Root,Mat,Neo-Babylonian,Alaska,American
10233,38-23-131,images/479175_800.jpg,Central American,Huichol,Four,"God's Eye. Squares of colored wool yarn twined on crossed sticks. Four of red and black and red and blue yarn forming large cross. ""Set of gods' eyes"" which are made for the children to wear in the fertility ceremony of first fruits for increase and purification of plants, animals, and people. The women and children are the principal participants.",Wool | Splint,Ceremonial Object,Bronze Age,Mexico (Central America) | Nayarit,American
10234,CG94-2-4,images/453216_800.jpg,Southwest Culture Area,Cliff Dweller,6,6 sherds of various types and wares.,Clay,Sherds,Arabic,Peru | Pachacamac | Gravefield I,American
10240,55-8-170,images/797966_800.jpg,Northeast Culture Area,Woodland,One,Convex base (lanceolate),Argillite,Point,Iron Age | Hallstatt I | Bylany Phase,United States of America | Pennsylvania | Chester County | Uwchlan Township | Milford Road,American
10241,55-8-169,images/797965_800.jpg,Northeast Culture Area,Woodland,One,Leaf-shaped. Base broken,Quartzite,Point,Iron Age | Hallstatt I | Bylany Phase,United States of America | Pennsylvania | Chester County | Uwchlan Township | Milford Road,American
10247,29-77-303,images/441289_800.jpg,Southwest Culture Area,Prehistoric Pueblo,half,Corrugated gray ware. Small,Clay,Pitcher,Cypro-Geometric IA,Arizona | Northeast Arizona,American
10248,29-77-293,images/443816_800.jpg,Southwest Culture Area,Anasazi,one,black/white. Knobbed,Clay,Pitcher,Pueblo I,Northeast Arizona | Little Colorado Area (uncertain) | San Juan Area (uncertain),American
10254,29-77-120,images/455321_800.jpg,Southwest Culture Area,Prehistoric Pueblo,half,corrugated; rim chipped. Shallow bowl or dish. Indented red ware with polished black interior,Clay,Bowl,Cypro-Geometric IA,Eastern Arizona | Upper Gila,American
10255,29-77-119,images/455309_800.jpg,Southwest Culture Area,Prehistoric Pueblo,half,Corrugated; rim chipped. Red ware with polished black interior and indented exterior decoration,Clay,Bowl,Cypro-Geometric IA,Northeast Arizona | Upper Gila,American
10261,37721,images/664064_800.jpg,California Culture Area,Pomo,3,"Elder wood flute, 4 holes, 3 notches. Light brown.",Wood,Flute,Hissar IB,United States of America | California (State) | Mendocino County | Ukiah,American
10263,30-3-97,images/720495_800.jpg,Subarctic Culture Area,Naskapi | Barren Ground Band,1,Porcupine.,Wood,Figurine,Late Minoan I,Canada | Labrador,American
10266,29-78-601,images/444926_800.jpg,Southwest Culture Area,Protohistoric Hopi,17th century,Jeddito Black-on-Yellow; fragment,Clay,Mug,Pueblo IV,Northeast Arizona,American
10267,29-78-591,images/442161_800.jpg,Southwest Culture Area,Anasazi,one,black / white,Clay,Seed Jar,Pueblo I,Northeast Arizona | Little Colorado Area (uncertain) | San Juan Area (uncertain),American
10271,53-1-14D,images/845473_800.jpg,Northeast Culture Area,Penobscot,one,Design carved on face and stained red. Bottom is slightly rounded and polished. Each piece has a different number of holes worked on the face.,Deer Bone,Die,Mousterian,United States of America | Maine,American
10274,29851A,images/88436_800.jpg,Andean,Inca,One,"Loom stripe, white, brown, blue and yellow on red ground: central panel plain brown.Fragment of a woven ""poncho"".  Arm aperture in side seam. One part of the piece is the red loom striped and the other part is a cotton plain weave; they are joined with a seam. The plain weave side is distorted and difficult to read. Arm aperture is bound in a ""needle-knit"" technique. Color(s): Red, white, blue, brown and yellow.",Cotton,Poncho Fragment,Iron Age | Hallstatt I | Bylany Phase,"Peru | Pachacamac | Gravefield I, Oldest Part",American
10278,46-6-253,images/630501_800.jpg,Southeast Culture Area,Cherokee,one,Quartz. Broken. Stem nearly straight from straight base; most of blade missing,Quartz,Blade,Mousterian,United States of America | North Carolina,American
10284,NA7633,images/854465_800.jpg,Northwest Coast Culture Area,Tlingit,two,"Dance collar or neck ornament with beaded designs. The collar is a horizontal rectangle made from red wool with a black border. A beaded, floral design is done in light blue, dark blue, purple, pink, yellow, white, black, and green beads. The ends of the collar have two metal clasps that would secure it to the wearer's neck. The reverse of the collar portion has a printed floral pattern in black. A bird-shaped pendant hangs below, also made from red wool with a black border. The bird has beaded decoration in pink, white, black, dark blue, light blue, mauve, and yellow beads. Large ovoid designs are beaded around the joints and feathers are beaded along the wings. The bird's eyes are made from pearl buttons. The edge of the bird is lined with white beads.",Wool | Silk | Bead | Cotton | Shell | Metal,Neck Ornament,Roman Period,Alaska,American
10285,20494,images/831755_800.jpg,Northeast Culture Area,Amish | Pennsylvania Dutch,1,1 string of amber beads - to prevent throat disease,Amber | Fiber | Metal,Teething Charm<br/><br/>String of Beads,Late Minoan I,United States of America | Pennsylvania,American
